id,price,name,art,topprize,topstart,topremaining,allstart,allremaining,chancestowin,launchdate,probability
417,10,"$250,000 Rich",https://www.mdlottery.com/wp-content/uploads/2019/02/250KRich_Front.jpg,250000,5,1,784602,84397,25,2019-02-25T05:00:00.000Z,3.43
418,30,"$2,000,000 Richer",https://www.mdlottery.com/wp-content/uploads/2019/02/2MRicher_Front.jpg,2000000,6,1,1243390,108429,43,2019-02-25T05:00:00.000Z,2.82
419,1,EZ Bucks,https://www.mdlottery.com/wp-content/uploads/2019/03/EZ_Bucks_Front.jpg,1000,40,23,1364348,821997,6,2019-03-25T04:00:00.000Z,4.52
420,2,I Love Lucy™,https://www.mdlottery.com/wp-content/uploads/2019/03/ILoveLucy_Teal_Front.jpg,10000,8,3,758032,158609,10,2019-03-25T04:00:00.000Z,4
421,5,Stacks of Ca$h,https://www.mdlottery.com/wp-content/uploads/2019/03/Stacks_of_Cash_Front.jpg,50000,7,2,1063061,213102,16,2019-03-25T04:00:00.000Z,3.88
422,1,Cloud 9,https://www.mdlottery.com/wp-content/uploads/2019/04/Cloud9_Front.jpg,1000,40,18,1368583,549977,6,2019-04-22T04:00:00.000Z,4.51
423,5,Lucky Numbers,https://www.mdlottery.com/wp-content/uploads/2019/04/MD-Lucky-Numbers-423-Front-Covered-574x861.jpg,50000,8,1,1022968,123945,15,2019-04-22T04:00:00.000Z,3.86
424,1,Gold Rush X5,https://www.mdlottery.com/wp-content/uploads/2019/05/GoldRush_X5_Front.jpg,1000,30,12,1345399,562664,6,2019-05-20T04:00:00.000Z,4.57
425,2,Gold Rush X10,https://www.mdlottery.com/wp-content/uploads/2019/05/GoldRush_X10_Front.jpg,10000,5,1,783777,216015,10,2019-05-20T04:00:00.000Z,4.04
426,5,Gold Rush X20,https://www.mdlottery.com/wp-content/uploads/2019/05/GoldRush_X20_Front.jpg,50000,8,2,1076055,220685,15,2019-05-20T04:00:00.000Z,3.84
427,10,Gold Rush X50,https://www.mdlottery.com/wp-content/uploads/2019/05/GoldRush_X50_Front.jpg,100000,8,2,782047,217123,25,2019-05-20T04:00:00.000Z,3.44
